commit,date,status,path,phase,change_type
31173ad1eadb8d0c73ff08eaf8882506dc8888dc,2026-04-21T14:17:54-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
31173ad1eadb8d0c73ff08eaf8882506dc8888dc,2026-04-21T14:17:54-04:00,M,pi/skills/workflow/gitlab-ticket.md,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/analysis-workflow,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/claude-code-workflow,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/code-review,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/git-workflow,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/planning,workflow,source-history
b30f7bfe91409f070eee5c24299b60edc20836d7,2026-04-20T23:00:34-04:00,A,pi/skills/shared/ux-design-workflow,workflow,source-history
fc391a908fdc062c243bd924acd7f54811c55aa8,2026-04-17T23:51:50-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
fc391a908fdc062c243bd924acd7f54811c55aa8,2026-04-17T23:51:50-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
971eca0fa9b01cfa2cb37a4c706a330a6108a297,2026-04-17T23:25:17-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
37637c66d549d812c7f32585b9063363f7ea256e,2026-04-17T23:25:16-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
37637c66d549d812c7f32585b9063363f7ea256e,2026-04-17T23:25:16-04:00,M,pi/skills/workflow/commit.md,workflow,source-history
3b4c84ab629ccf300ee3f82fca23a7c0234115a4,2026-04-17T23:25:15-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
3b4c84ab629ccf300ee3f82fca23a7c0234115a4,2026-04-17T23:25:15-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
3b4c84ab629ccf300ee3f82fca23a7c0234115a4,2026-04-17T23:25:15-04:00,M,pi/skills/workflow/research.md,workflow,source-history
0c9b1302099e4f5d82b3fd39b86c94958f98cac6,2026-04-17T22:10:34-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
bd047ea79624c49c28b21119261148f14fb54fdf,2026-04-17T22:08:40-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
3ef18d220c03b1ab22ec7309f1dbcecf99bf5bfd,2026-04-17T22:06:54-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
2267d914a9a09c4ac4585c267fdf7ee881237881,2026-04-17T22:05:36-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
5714c66cd12c5b8c4400adf5e7a5e74e10f19b92,2026-04-17T22:03:59-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
cf01ddf841054eaebd8ac83a48c637b859831956,2026-04-17T22:02:44-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
770a93f6e5f17ffe22151706cba37e864463b4fe,2026-04-17T22:01:02-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
411cae8fc393a768dca49d65be8b6980d72feae9,2026-04-17T21:57:24-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
eaa6fa1b52404a20f765972ed7785be1dee68da3,2026-04-17T21:50:19-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
1fa954f1c14be1c941b9baf76bcdfd0bbf07db8f,2026-04-17T21:46:21-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
4e94e0897cc86e532a3ce4879c9915ae629cf647,2026-04-17T21:32:44-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
5e93b77ae214e3c1a93aeac68ef30f86ecd26a02,2026-04-17T21:03:16-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
c26085156da0ab6ecfe4a786c152bad7dd3ed40b,2026-04-17T20:45:48-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
850d3f758867bf1c028b3c52fb5b3ee886f102af,2026-04-17T20:42:50-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
b3027417635958d311c9a723f936db4e0bb34f9e,2026-04-17T20:14:13-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
db8b6e57213ceee1942738f67fdd4a442186048d,2026-04-17T20:02:52-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
b0f1269302985f8b8a2146827b5df0bc00e05153,2026-04-17T01:24:01-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
29faff67090431f190da693e1ba3fa890276c446,2026-04-17T01:09:18-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
8cfd23d37f5b888339d97d23735bd2c3b7a1e821,2026-04-16T20:24:35-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
8cfd23d37f5b888339d97d23735bd2c3b7a1e821,2026-04-16T20:24:35-04:00,M,claude/shared/review-it-instructions.md,workflow,source-history
8cfd23d37f5b888339d97d23735bd2c3b7a1e821,2026-04-16T20:24:35-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
8cfd23d37f5b888339d97d23735bd2c3b7a1e821,2026-04-16T20:24:35-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
5a12f5cd91c1a49766604e698b30d42d6bd2498e,2026-04-10T16:49:49-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
5a12f5cd91c1a49766604e698b30d42d6bd2498e,2026-04-10T16:49:49-04:00,A,pi/skills/workflow/gitlab-ticket.md,workflow,source-history
456bc5c67282e15ca1944cdcdd8e2f4ab5786ee3,2026-04-08T22:10:06-04:00,M,claude/shared/plan-it-instructions.md,workflow,source-history
456bc5c67282e15ca1944cdcdd8e2f4ab5786ee3,2026-04-08T22:10:06-04:00,M,claude/shared/review-it-instructions.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,claude/commands/do-it.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,claude/commands/review-it.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,claude/shared/plan-it-instructions.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,claude/shared/review-it-instructions.md,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
b771397d9d1d71409e4f3dbcb30cc1237e497849,2026-04-06T23:58:47-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
